,Loss_mae,Threshold,Anomaly
0,0.0099320032948605,0.025,False
1,0.03007155303362712,0.025,True
2,0.030178496041620716,0.025,True
3,0.02038057032772864,0.025,False
4,0.026936032498816154,0.025,True
5,0.020398362381423316,0.025,False
6,0.02057811035913061,0.025,False
7,0.0001614227157591963,0.025,False
8,0.016460486228461593,0.025,False
9,0.016460486228461593,0.025,False
10,0.030024626188437754,0.025,True
11,0.013193379123128554,0.025,False
12,0.026936032498816154,0.025,True
13,0.0236469137485505,0.025,False
14,0.020565321421717384,0.025,False
15,0.006658066572706141,0.025,False
16,0.01649192317422217,0.025,False
17,0.027104399635568432,0.025,True
18,0.023605465642719953,0.025,False
19,0.020244578763569717,0.025,False
20,0.013195209686892246,0.025,False
21,0.014328657054872301,0.025,False
22,0.03697320922728933,0.025,True
23,0.041657720002881225,0.025,True
24,0.0577323332790454,0.025,True
25,0.03018133386198679,0.025,True
26,0.028890107870184516,0.025,True
27,0.030637799408978098,0.025,True
28,0.01998788178989118,0.025,False
29,0.062150453763979936,0.025,True
30,0.01899826134877074,0.025,False
31,0.0081361548828962,0.025,False
32,0.025872371661063136,0.025,True
33,0.024064757544151476,0.025,False
34,0.0033066103934842606,0.025,False
35,0.01633170185926676,0.025,False
36,0.00023263835581667966,0.025,False
37,0.020202010841209702,0.025,False
38,0.02673584879755564,0.025,True
39,0.0050397754708542035,0.025,False
40,0.026722355818616792,0.025,True
41,0.0074327805321393785,0.025,False
42,0.014180896364872094,0.025,False
43,0.007817910479014608,0.025,False
44,0.005276012091426872,0.025,False
45,0.009400500775618104,0.025,False
46,0.022962846837055476,0.025,False
47,0.012208285919089712,0.025,False
48,0.020289806876382984,0.025,False
49,0.009809076405837475,0.025,False
50,0.013228989014905124,0.025,False
51,0.006547226305997282,0.025,False
52,0.01633170185926676,0.025,False
53,0.01633170185926676,0.025,False
54,0.009925890175539917,0.025,False
55,0.006658066572706141,0.025,False
56,0.013228989014905124,0.025,False
57,0.0065264433464348555,0.025,False
58,0.0036041258498136866,0.025,False
59,0.010650405499202589,0.025,False
60,0.010706305070893235,0.025,False
61,0.0014153817030092737,0.025,False
62,0.016552565201615185,0.025,False
63,0.007830550046279416,0.025,False
64,0.011301461639927096,0.025,False
